time,solve_time,solver_iterations,min_slack,solver_success,critical_constraint_name,nominal_cost,barrier_cost,total_cost
0.24,0.004582870002195705,10,0.0004021591392839863,True,cbf_obstacle_8,0.03215487903989597,0.0009706889935668329,0.0331255680334628
0.25,0.003634469998360146,9,0.00038253029050583365,True,cbf_obstacle_8,0.035539852555418916,0.0009656119201829788,0.03650546447560189
0.26,0.002767239999229787,6,0.00036067640336345796,True,cbf_obstacle_8,0.03997819545489198,0.0009633712236304591,0.04094156667852244
0.27,0.0032087850013340358,8,0.00034967402973395956,True,cbf_obstacle_8,0.0425470379105604,0.0009566227969639127,0.043503660707524316
0.28,0.003930387003492797,11,0.0003372474779526069,True,cbf_obstacle_8,0.045755231152451295,0.0009511214831441088,0.0467063526355954
0.29,0.0031724649998068344,7,0.0003231340654910042,True,cbf_obstacle_8,0.04985611047751328,0.0009479694356863535,0.050804079913199636
0.3,0.004534510000667069,13,0.00031097448613803813,True,cbf_obstacle_8,0.053853418466418224,0.0009444663333343093,0.05479788479975253
0.31,0.0029572579987870995,7,0.0003023790255647363,True,cbf_obstacle_8,0.05698741854909932,0.0009390115256464888,0.05792643007474581
0.32,0.003798379002546426,9,0.0002929217045641863,True,cbf_obstacle_8,0.06075847892174794,0.00093488095980713,0.06169335988155507
0.33,0.004677309003454866,10,0.00028364159680549506,True,cbf_obstacle_8,0.06483566470245934,0.0009318390136174102,0.06576750371607676
0.34,0.004886867001914652,8,0.00027428645851812483,True,cbf_obstacle_8,0.06937467687476036,0.0009294716940847388,0.07030414856884509
0.35000000000000003,0.004564379996736534,8,0.00026683647580105774,True,cbf_obstacle_8,0.07334999364353646,0.0009260580748487995,0.07427605171838526
0.36,0.006253642000956461,8,0.0002602135654814486,True,cbf_obstacle_8,0.07718413084520448,0.0009224989762059984,0.07810662982141048
0.37,0.005308851999870967,9,0.0002532553157787998,True,cbf_obstacle_8,0.08154135689032851,0.0009197800264685735,0.08246113691679709
0.38,0.004310753000027034,8,0.0002464511663987645,True,cbf_obstacle_8,0.08616946949316605,0.0009173045749872276,0.08708677406815328
0.39,0.004109794997930294,8,0.0002405005942022198,True,cbf_obstacle_8,0.09055621742774687,0.0009143500442493076,0.09147056747199618
0.4,0.0038803079987701494,8,0.00023484904621817737,True,cbf_obstacle_8,0.09504324718928488,0.0009113160414361684,0.09595456323072105
0.41000000000000003,0.0037485590000869706,9,0.00022928612086514644,True,cbf_obstacle_8,0.09979362709249998,0.000908702142031897,0.10070232923453187
0.42,0.004260203000740148,9,0.0002242825240970081,True,cbf_obstacle_8,0.10438551024565604,0.0009064554404458173,0.10529196568610186
0.43,0.004474280998692848,9,0.00021981231042866867,True,cbf_obstacle_8,0.10877114688842619,0.0009044031800376658,0.10967555006846386
0.44,0.0038369979993149173,8,0.000215712417265701,True,cbf_obstacle_8,0.11304912803502563,0.0009022547793837995,0.11395138281440943
0.45,0.0035271720007585827,7,0.00021179473680998928,True,cbf_obstacle_8,0.11738111235167771,0.0009000857973152443,0.11828119814899296
0.46,0.0037388400014606304,8,0.00020792196087915382,True,cbf_obstacle_8,0.12191266767772431,0.0008981130073416616,0.12281078068506597
0.47000000000000003,0.0033994029981840868,7,0.0002041534988193039,True,cbf_obstacle_8,0.12658082925448022,0.0008962970192255911,0.1274771262737058
0.48,0.002691020999918692,6,0.00020059946484018987,True,cbf_obstacle_8,0.13123981661228323,0.000894484603835593,0.13213430121611883
0.49,0.003947476998291677,8,0.00019725821496119345,True,cbf_obstacle_8,0.13586562993921888,0.0008926390243763153,0.1367582689635952
0.5,0.003824227998848073,7,0.00019405562668051157,True,cbf_obstacle_8,0.14053774029333616,0.0008908736597557877,0.14142861395309195
0.51,0.004253193998010829,9,0.000190950617633856,True,cbf_obstacle_8,0.14530465768378595,0.0008892482081578076,0.14619390589194375
0.52,0.0035990210017189384,7,0.0001879487967706428,True,cbf_obstacle_8,0.15015131327016074,0.000887731263713323,0.15103904453387407
0.53,0.004213484000501921,9,0.0001850776265827081,True,cbf_obstacle_8,0.1550235083489782,0.0008862702549518582,0.15590977860393007
0.54,0.003732308996404754,8,0.00018234861392540935,True,cbf_obstacle_8,0.15988517742760505,0.0008848406654057474,0.1607700180930108
0.55,0.004339163002441637,9,0.00017975160912053756,True,cbf_obstacle_8,0.16473462825550278,0.0008834641091507637,0.16561809236465355
